created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-04-11 00:00:00 UTC,2.44,4.55,6.74,54070.07,-66.55,58.22,46.86,4.55,
2020-04-11 00:00:00 UTC,2.44,4.55,6.74,54070.07,-66.55,58.22,46.86,4.55
2020-04-12 00:00:00 UTC,1.22,2.28,2.76,55511.00,-66.63,52.54,35.28,2.28,
2020-04-12 00:00:00 UTC,1.22,2.28,2.76,55511.00,-66.63,52.54,35.28,2.28
2020-04-13 00:00:00 UTC,1.70,2.98,3.52,51588.60,-66.96,54.24,28.87,2.98,
2020-04-13 00:00:00 UTC,1.70,2.98,3.52,51588.60,-66.96,54.24,28.87,2.98
2020-04-14 00:00:00 UTC,1.77,2.82,3.20,438.08,-67.93,71.95,27.77,2.82,
2020-04-14 00:00:00 UTC,1.77,2.82,3.20,438.08,-67.93,71.95,27.77,2.82
2020-04-15 00:00:00 UTC,0.93,1.52,1.78,1364.00,-69.18,72.40,29.64,1.52,
2020-04-15 00:00:00 UTC,0.93,1.52,1.78,1364.00,-69.18,72.40,29.64,1.52
2020-04-16 00:00:00 UTC,4.15,5.79,6.48,2171.73,-70.04,72.03,28.38,5.74,
2020-04-16 00:00:00 UTC,4.15,5.79,6.48,2171.73,-70.04,72.03,28.38,5.74
2020-04-17 00:00:00 UTC,1.47,2.43,2.83,1000.00,-68.20,60.68,30.52,2.43,
2020-04-17 00:00:00 UTC,1.47,2.43,2.83,1000.00,-68.20,60.68,30.52,2.43
2020-04-18 00:00:00 UTC,4.06,6.29,7.23,2167.92,-67.70,60.66,45.67,6.29,
2020-04-18 00:00:00 UTC,4.06,6.29,7.23,2167.92,-67.70,60.66,45.67,6.29
2020-04-19 00:00:00 UTC,1.34,2.21,2.54,830.00,-67.36,58.94,52.23,2.21,
2020-04-19 00:00:00 UTC,1.34,2.21,2.54,830.00,-67.36,58.94,52.23,2.21
2020-04-20 00:00:00 UTC,3.43,5.19,5.77,2270.00,-67.13,59.31,49.80,5.19,
2020-04-20 00:00:00 UTC,3.43,5.19,5.77,2270.00,-67.13,59.31,49.80,5.19
2020-04-21 00:00:00 UTC,1.80,2.86,3.28,3710.00,-66.94,57.39,52.57,2.86,
2020-04-21 00:00:00 UTC,1.80,2.86,3.28,3710.00,-66.94,57.39,52.57,2.86
2020-04-22 00:00:00 UTC,1.38,2.30,2.73,5150.00,-67.27,57.01,59.98,2.30,
2020-04-22 00:00:00 UTC,1.38,2.30,2.73,5150.00,-67.27,57.01,59.98,2.30
2020-04-23 00:00:00 UTC,0.84,1.48,1.73,6590.21,-67.39,57.16,68.40,1.48,
2020-04-23 00:00:00 UTC,0.84,1.48,1.73,6590.21,-67.39,57.16,68.40,1.48
2020-04-24 00:00:00 UTC,1.52,2.57,3.24,8030.00,-68.30,58.86,59.44,2.57,
