,code,value_represented
228,16788,Nitrobenzene (TSP) STP
229,16789,N-Nitrosodibutylamine  (TSP) STP
230,16790,N-Nitrosodiethylamine  (TSP) STP
231,16791,N-Nitrosodipropylamine  (TSP) STP
232,16792,N-Nitrosomethylethylamine  (TSP) STP
233,16793,N-Nitrosopiperidine  (TSP) STP
234,16794,N-Nitrosopyrrolidine  (TSP) STP
235,16795,Pentachloroethane  (TSP) STP
236,16796,Phenacetin  (TSP) STP
237,16797,Phenol  (TSP) STP
238,16798,Pronamide (TSP) STP
239,16799,Pyridine (TSP) STP
240,16801,Safrole (TSP) STP
241,16807,Hexachloroethane (TSP) STP
242,16822,"1,2-Dichlorotetrafluoroethane"
243,16826,Hexachlorocyclopentadiene (TSP) STP
244,16901,Epichlorohydrin(DUP)
245,16906,"1,4-Dioxin"
246,16914,Isophorone (TSP) STP
247,16915,2-Methylnaphthalene (TSP) STP
248,16916,Freon 12
249,16917,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin (TSP) STP"
250,16918,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin (TSP) STP"
251,16919,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin (TSP) STP"
252,16920,"1,2,3,7,8-Pentachlorodibenzofuran (TSP) STP"
253,16921,"2,3,4,7,8-Pentachlorodibenzofuran (TSP) STP"
254,16922,"1,2,3,4,7,8-Hexachlorodibenzofuran (TSP) STP"
255,16923,"1,2,3,6,7,8-Hexachlorodibenzofuran (TSP) STP"
256,16924,"2,3,4,6,7,8-Hexachlorodibenzofuran (TSP) STP"
257,16925,"1,2,3,7,8,9-Hexachlorodibenzofuran (TSP) STP"
258,16926,"1,2,3,4,6,7,8-Heptachlorodibenzofuran (TSP) STP"
259,16927,"1,2,3,4,7,8,9-Heptachlorodibenzofuran (TSP) STP"
260,16932,"3,3',4,4'-Tetrachlorobiphenyl (TSP) STP"
261,16933,"2,3',4,4',5-Pentachlorobiphenyl (TSP) STP"
262,16934,"2,3,3',4,4'-Pentachlorobiphenyl (TSP) STP"
263,16935,"3,3',4,4',5,5'-Hexachlorobiphenyl (TSP) STP"
264,16936,"2,2',3,3',4,4',5-Heptachlorobiphenyl (TSP) STP"
265,16937,"2,2',3,4,4',5,5'-Heptachlorobiphenyl (TSP) STP"
266,16938,1-Methylnapthalene
267,16939,"2,4'-Dichlorobiphenyl (TSP) STP"
268,16940,"4,4'-Dichlorobiphenyl (TSP) STP"
269,16941,"2,2',5-Trichlorobiphenyl (TSP) STP"
270,16942,"2,4,4'-Trichlorobiphenyl (TSP) STP"
271,16943,"2,4',5-Trichlorobiphenyl (TSP) STP"
272,16944,"3,4,4',5-Tetrachlorobiphenyl (TSP) STP"
273,16945,"2,3,4,4',5-Pentachlorobiphenyl (TSP) STP"
274,16946,"2,3',4,4',5'-Pentachlorobiphenyl (TSP) STP"
275,16947,"3,3',4,4',5-Pentachlorobiphenyl (TSP) STP"
276,16948,"2,3,3',4,4',5-Hexachlorobiphenyl (TSP) STP"
277,16949,"2,3,3',4,4',5'-Hexachlorobiphenyl (TSP) STP"
278,16950,"2,3',4,4',5,5',-Hexachlorobiphenyl (TSP) STP"
279,16951,"2,3,3',4,4',5,5'-Heptachlorobiphenyl"
280,16954,"2,3'-Dichlorobiphenyl (TSP) STP"
281,16956,"3,3'-Dichlorobiphenyl (TSP) STP"
282,16958,"2,2',6-Trichlorobiphenyl (TSP) STP"
283,16959,"2,3,4'-Trichlorobiphenyl (TSP) STP"
284,16960,"2,3',5-Trichlorobiphenyl (TSP) STP"
285,16961,"2,3',6-Trichlorobiphenyl (TSP) STP"
286,16962,"2,3',4'-Trichlorobiphenyl (TSP) STP"
287,16964,"2,2',3,3'-Tetrachlorobiphenyl (TSP) STP"
288,16966,"2,2',3,5'-Tetrachlorobiphenyl (TSP) STP"
289,16967,"2,2',3,6-Tetrachlorobiphenyl (TSP) STP"
290,16968,"2,2',3,6'-Tetrachlorobiphenyl (TSP) STP"
291,16970,"2,2',4,5'-Tetrachlorobiphenyl (TSP) STP"
292,16971,"2,2',5,5'-Tetrachlorobiphenyl (TSP) STP"
293,16972,"2,2',5,6'-Tetrachlorobiphenyl (TSP) STP"
294,16974,"2,3,4',5-Tetrachlorobiphenyl (TSP) STP"
295,16975,"2,3',4',5-Tetrachlorobiphenyl (TSP) STP"
296,16977,"2,4,4',5-Tetrachlorobiphenyl (TSP) STP"
297,16978,"2,2',3,3',5-Pentachlorobiphenyl (TSP) STP"
298,16979,"2,2',3,3',6-Pentachlorobiphenyl (TSP) STP"
299,16980,"2,2',3,4,4'-Pentachlorobiphenyl (TSP) STP"
300,16981,"2,2',3,4,5'-Pentachlorobiphenyl (TSP) STP"
301,16982,"2,2',3,4,6'-Pentachlorobiphenyl (TSP) STP"
302,16983,"2,2',3,4',6-Pentachlorobiphenyl (TSP) STP"
303,16984,"2,2',3,5,5'-Pentachlorobiphenyl (TSP) STP"
304,16985,"2,2',3,5',6-Pentachlorobiphenyl (TSP) STP"
305,16986,"2,2',3,4',5'-Pentachlorobiphenyl (TSP) STP"
306,16987,"2,2',4,4',5-Pentachlorobiphenyl (TSP) STP"
307,16988,"2,2',4,5,5'-Pentachlorobiphenyl (TSP) STP"
308,16989,"2,2',3,3',4,4'-Hexachlorobiphenyl (TSP) STP"
309,16990,"2,2',3,3',4,5'-Hexachlorobiphenyl (TSP) STP"
310,16993,"2,2',3,4,5,5'-Hexachlorobiphenyl (TSP) STP"
311,16994,"2,2',3,4',5,5'-Hexachlorobiphenyl (TSP) STP"
312,16995,"2,2',3,4',5',6-Hexachlorobiphenyl (TSP) STP"
313,16996,"2,2',3,5,5',6-Hexachlorobiphenyl (TSP) STP"
314,16998,"2,3,3',4,4',6-Hexachlorobiphenyl (TSP) STP"
315,17000,"2,2',3,3',4,5,5'-Heptachlorobiphenyl (TSP) STP"
316,17001,"2,2',3,3',4,5,6'-Heptachlorobiphenyl (TSP) STP"
317,17002,"2,2',3,3',4,5',6'-Heptachlorobiphenyl (TSP) STP"
318,17003,"2,2',3,3',5,5',6-Heptachlorobiphenyl (TSP) STP"
319,17005,"2,2',3,4,4',5',6-Heptachlorobiphenyl (TSP) STP"
320,17006,"2,2',3,4,5,5',6-Heptachlorobiphenyl (TSP) STP"
321,17007,"2,2',3,4',5,5',6-Heptachlorobiphenyl (TSP) STP"
322,17008,"2,3,3',4',5,5',6-Heptachlorobiphenyl (TSP) STP"
323,17009,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl (TSP) STP"
324,17010,"2,2',3,3',4,5,5',6'-Octachlorobiphenyl (TSP) STP"
325,17011,"2,2',3,3',4,5',6,6'-Octachlorobiphenyl (TSP) STP"
326,17013,"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl (TSP) STP"
327,17018,Mixture PCB 4/10 (TSP) STP
328,17019,Mixture PCB 7/ 9 (TSP) STP
329,17020,Mixture PCB 15/17 (TSP) STP
330,17021,Mixture PCB 18/32 (TSP) STP
331,17022,Mixture PCB 28/31 (TSP) STP
332,17023,Mixture PCB 37/42 (TSP) STP
333,17024,Mixture PCB 41/71/64 (TSP) STP
334,17025,Mixture PCB 47/48 (TSP) STP
335,17026,Mixture PCB 56/60 (TSP) STP
336,17027,Mixture PCB 77/110 (TSP) STP
337,17028,Mixture PCB 105/132/153 (TSP) STP
338,17029,Mixture PCB 135/144 (TSP) STP
339,17030,Mixture PCB 138/163 (TSP) STP
340,17031,Mixture PCB 170/190 (TSP) STP
