date,parameter,location,value,unit,city,attribution,averagingperiod,coordinates,country,sourcename,sourcetype,mobile
"{utc=2018-05-01T15:00:00.000Z, local=2018-05-01T07:00:00-08:00}",pm25,San Francisco,8,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-08T12:00:00.000Z, local=2018-05-08T04:00:00-08:00}",pm25,San Francisco,2,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-03T16:00:00.000Z, local=2018-05-03T08:00:00-08:00}",pm25,San Francisco,6,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-04T06:00:00.000Z, local=2018-05-03T22:00:00-08:00}",pm25,San Francisco,7,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-09T06:00:00.000Z, local=2018-05-08T22:00:00-08:00}",pm25,San Francisco,0,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-11T23:00:00.000Z, local=2018-05-11T15:00:00-08:00}",pm25,San Francisco,6,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-08T09:00:00.000Z, local=2018-05-08T01:00:00-08:00}",pm25,San Francisco,0,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-04T16:00:00.000Z, local=2018-05-04T08:00:00-08:00}",pm25,San Francisco,4,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-08T14:00:00.000Z, local=2018-05-08T06:00:00-08:00}",pm25,San Francisco,6,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-03T19:00:00.000Z, local=2018-05-03T11:00:00-08:00}",pm25,San Francisco,2,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-04T17:00:00.000Z, local=2018-05-04T09:00:00-08:00}",pm25,San Francisco,11,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-07T08:00:00.000Z, local=2018-05-07T00:00:00-08:00}",pm25,San Francisco,2,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-11T14:00:00.000Z, local=2018-05-11T06:00:00-08:00}",pm25,San Francisco,12,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-11T19:00:00.000Z, local=2018-05-11T11:00:00-08:00}",pm25,San Francisco,10,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-17T05:00:00.000Z, local=2018-05-16T21:00:00-08:00}",pm25,San Francisco,1,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-08T11:00:00.000Z, local=2018-05-08T03:00:00-08:00}",pm25,San Francisco,6,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-12T01:00:00.000Z, local=2018-05-11T17:00:00-08:00}",pm25,San Francisco,11,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-02T23:00:00.000Z, local=2018-05-02T15:00:00-08:00}",pm25,San Francisco,10,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-08T15:00:00.000Z, local=2018-05-08T07:00:00-08:00}",pm25,San Francisco,5,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-01T13:00:00.000Z, local=2018-05-01T05:00:00-08:00}",pm25,San Francisco,7,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-12T13:00:00.000Z, local=2018-05-12T05:00:00-08:00}",pm25,San Francisco,18,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-11T12:00:00.000Z, local=2018-05-11T04:00:00-08:00}",pm25,San Francisco,12,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-11T18:00:00.000Z, local=2018-05-11T10:00:00-08:00}",pm25,San Francisco,11,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-12T17:00:00.000Z, local=2018-05-12T09:00:00-08:00}",pm25,San Francisco,9,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-13T07:00:00.000Z, local=2018-05-12T23:00:00-08:00}",pm25,San Francisco,4,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-10T16:00:00.000Z, local=2018-05-10T08:00:00-08:00}",pm25,San Francisco,4,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-03T14:00:00.000Z, local=2018-05-03T06:00:00-08:00}",pm25,San Francisco,1,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
"{utc=2018-05-13T06:00:00.000Z, local=2018-05-12T22:00:00-08:00}",pm25,San Francisco,8,µg/m³,San Francisco-Oakland-Fremont,"[{name=US EPA AirNow, url=http://www.airnow.gov/}, {name=San Francisco Bay Area AQMD, url=null}]","{unit=hours, value=1.0}","{latitude=37.7658, longitude=-122.3978}",US,AirNow,government,FALSE
