,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,date_local,time_local,date_gmt,time_gmt,sample_measurement,units_of_measure,sample_duration,sample_frequency,detection_limit,uncertainty,qualifier,method_type,method_code,method,state,county,date_of_last_change,cbsa_code
35,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-02,11:00,2020-01-02,19:00,8.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
36,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-02,12:00,2020-01-02,20:00,5.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
37,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-02,13:00,2020-01-02,21:00,1.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
38,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-02,14:00,2020-01-02,22:00,4.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
39,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-02,15:00,2020-01-02,23:00,3.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
40,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-02,16:00,2020-01-03,00:00,6.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
41,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-02,17:00,2020-01-03,01:00,4.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
42,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-02,18:00,2020-01-03,02:00,0.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
43,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-02,19:00,2020-01-03,03:00,2.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
44,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-02,20:00,2020-01-03,04:00,4.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
